Select the country where your practice is located.,Where is your primary surgery location?,How many years have you been in practice post training?,Are you an ESCRS delegate?,Q_PHACO_DEFAULT,Q_PRESBYOPIA_DEFAULT,Q_ASTIGMATISM_DEFAULT,Q_REFRACTIVE_DEFAULT,Q_OCULARSURFACE_DEFAULT,Q_GLAUCOMA_DEFAULT,Q_RETINA_DEFAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Corporate-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,Topography-customized,11-25,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Public hospital,6-10 years,Yes,Stop and chop,Trifocal IOLs,,,10-Jun,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Public hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Academic institution or non-profit,6-10 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Academic institution or non-profit,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Standard ablations,51-99,,More than 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Academic institution or non-profit,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,,Topography-customized,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,Academic institution or non-profit,21-30 years,Yes,Horizontal chop,Trifocal IOLs,,Femtosecond intrastromal lenticule extraction ,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Public hospital,11-20 years,Yes,,Trifocal IOLs,Digital image registration,Wavefront-customized,10-Jun,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Hospital-owned clinic,21-30 years,Yes,Divide and conquer,Trifocal IOLs,Digital image registration,,26-50,I do not perform surgical interventions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Public hospital,11-20 years,Yes,Stop and chop,,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Private hospital,21-30 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,Academic institution or non-profit,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,Surgeon-owned clinic,11-20 years,Yes,Horizontal chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Surgeon-owned clinic,Over 30 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,,Wavefront-optimized,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Surgeon-owned clinic,Over 30 years,Yes,Vertical chop,Trifocal IOLs,,Wavefront-optimized,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Academic institution or non-profit,11-20 years,"No, but I plan to become a delegate in the next 12 months",Vertical chop,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Femtosecond intrastromal lenticule extraction ,51-99,I do not perform surgical interventions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Surgeon-owned clinic,Currently in medical school,"No, and I have no plans to become a delegate",,,,,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Academic institution or non-profit,21-30 years,"No, and I have no plans to become a delegate",Divide and conquer,Extended depth of focus IOLs,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,Currently in training,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,Digital image registration,,11-25,After three medications,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Private hospital,0-5 years,"No, and I have no plans to become a delegate",Divide and conquer,,,,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Surgeon-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",Horizontal chop,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Femtosecond intrastromal lenticule extraction ,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Public hospital,0-5 years,Yes,,,,,5-Jan,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Academic institution or non-profit,11-20 years,Yes,Divide and conquer,Extended depth of focus IOLs,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Surgeon-owned clinic,0-5 years,Yes,,Trifocal IOLs,Intraoperative wavefront aberrometry,Wavefront-customized,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Private hospital,11-20 years,Yes,,Extended depth of focus IOLs,,,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,,Ink marking at the slit lamp with no additional instruments,,10-Jun,I do not perform surgical interventions,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Private hospital,6-10 years,Yes,Horizontal chop,Trifocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Private hospital,6-10 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Public hospital,Currently in training,"No, and I have no plans to become a delegate",,,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Private hospital,11-20 years,Yes,,Trifocal IOLs,,Standard ablations,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Private hospital,Over 30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Private hospital,6-10 years,Yes,,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-optimized,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,Private hospital,21-30 years,"No, and I have no plans to become a delegate",Horizontal chop,Bifocal IOLs,,Wavefront-optimized,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Public hospital,21-30 years,Yes,,,,Topography-customized,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,,,,100 or more,After three medications,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Corporate-owned clinic,6-10 years,"No, but I plan to become a delegate in the next 12 months",,Enhanced Monofocal IOLs,,,100 or more,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Hospital-owned clinic,Over 30 years,Yes,,Extended depth of focus IOLs,,Standard ablations,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Public hospital,6-10 years,Yes,Horizontal chop,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,100 or more,After two medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Academic institution or non-profit,21-30 years,Yes,Horizontal chop,Other,,Wavefront-optimized,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Public hospital,0-5 years,Yes,Horizontal chop,,,,11-25,I do not perform surgical interventions,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Surgeon-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Trifocal IOLs,Digital image registration,Wavefront-customized,11-25,After two medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,Surgeon-owned clinic,21-30 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,,Standard ablations,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Private hospital,Over 30 years,Yes,,Trifocal IOLs,,Femtosecond intrastromal lenticule extraction ,100 or more,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Public hospital,Over 30 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,,Standard ablations,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Retired or do not currently perform surgery,Over 30 years,"No, and I have no plans to become a delegate",,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Surgeon-owned clinic,21-30 years,Yes,,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-customized,5-Jan,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Public hospital,0-5 years,Yes,,,,,100 or more,,More than 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Public hospital,21-30 years,Yes,,,,Topography-customized,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Public hospital,21-30 years,Yes,,,,Topography-customized,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,Corporate-owned clinic,21-30 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-customized,11-25,After first-line medication,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Surgeon-owned clinic,21-30 years,"No, and I have no plans to become a delegate",,,,Wavefront-optimized,51-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Corporate-owned clinic,21-30 years,Yes,,Trifocal IOLs,,Standard ablations,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Surgeon-owned clinic,21-30 years,Yes,,Trifocal IOLs,Anatomical landmarks without preoperative marking,,5-Jan,After two medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Surgeon-owned clinic,11-20 years,"No, and I have no plans to become a delegate",Horizontal chop,Other,Ink marking at the slit lamp with no additional instruments,Topography-customized,10-Jun,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Surgeon-owned clinic,21-30 years,Yes,,Extended depth of focus IOLs,,Standard ablations,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Surgeon-owned clinic,21-30 years,Yes,Vertical chop,Extended depth of focus IOLs,,Standard ablations,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Surgeon-owned clinic,Over 30 years,Yes,,,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Standard ablations,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,Surgeon-owned clinic,11-20 years,Yes,Divide and conquer,Trifocal IOLs,,Wavefront-customized,51-99,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Corporate-owned clinic,21-30 years,Yes,Divide and conquer,Enhanced Monofocal IOLs,,,11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Hospital-owned clinic,Over 30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Corporate-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,Trifocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Other (Please specify.) ,Over 30 years,Yes,,,,,None,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Private hospital,21-30 years,Yes,,Extended depth of focus IOLs,,Wavefront-customized,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,11-20 years,Yes,,Extended depth of focus IOLs,,,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Retired or do not currently perform surgery,Over 30 years,Yes,,,,,None,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Private hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Trifocal IOLs,Anatomical landmarks without preoperative marking,,100 or more,First line,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Public hospital,Over 30 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Academic institution or non-profit,Over 30 years,Yes,Divide and conquer,Extended depth of focus IOLs,Digital image registration,Standard ablations,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Private hospital,11-20 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Private hospital,11-20 years,Yes,,Extended depth of focus IOLs,,,10-Jun,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Corporate-owned clinic,21-30 years,Yes,Other,Extended depth of focus IOLs,,,11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Public hospital,Over 30 years,Yes,Vertical chop,Trifocal IOLs,,,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Surgeon-owned clinic,Over 30 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,Standard ablations,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Academic institution or non-profit,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,100 or more,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Private hospital,21-30 years,"No, and I have no plans to become a delegate",,,,Standard ablations,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,Ink marking at the slit lamp with no additional instruments,,11-25,After two medications,240-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,6-10 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,Digital image registration,Wavefront-optimized,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Corporate-owned clinic,21-30 years,Yes,Other,,,,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Public hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",,,,,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Private hospital,0-5 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Corporate-owned clinic,6-10 years,Yes,,Extended depth of focus IOLs,Digital image registration,,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Corporate-owned clinic,21-30 years,"No, and I have no plans to become a delegate",,,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Surgeon-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Public hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,None,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Hospital-owned clinic,Currently in medical school,"No, but I plan to become a delegate in the next 12 months",,Accommodating IOLs,,,10-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Private hospital,21-30 years,Yes,Divide and conquer,,Ink marking at the slit lamp with no additional instruments,,100 or more,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Hospital-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,,Ink marking at the slit lamp with no additional instruments,,26-50,After three medications,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Academic institution or non-profit,11-20 years,"No, but I plan to become a delegate in the next 12 months",Horizontal chop,Bifocal IOLs,Ink marking at the slit lamp with no additional instruments,,11-25,After three medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Academic institution or non-profit,11-20 years,Yes,,,,Topography-customized,10-Jun,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Extended depth of focus IOLs,,Femtosecond intrastromal lenticule extraction ,100 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Surgeon-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Horizontal chop,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Standard ablations,10-Jun,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Private hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,Enhanced Monofocal IOLs,,Wavefront-optimized,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Private hospital,11-20 years,Yes,,,,Standard ablations,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,Private hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",,,,Wavefront-optimized,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Academic institution or non-profit,21-30 years,Yes,Horizontal chop,Enhanced Monofocal IOLs,,Wavefront-optimized,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Public hospital,11-20 years,Yes,,Extended depth of focus IOLs,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,11-20 years,Yes,,Enhanced Monofocal IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-optimized,26-50,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Surgeon-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Extended depth of focus IOLs,,Wavefront-optimized,51-99,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Academic institution or non-profit,11-20 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Retired or do not currently perform surgery,Over 30 years,"No, and I have no plans to become a delegate",,,,,11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Surgeon-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,Public hospital,Currently in training,Yes,Horizontal chop,Extended depth of focus IOLs,,,10-Jun,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Hospital-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Academic institution or non-profit,0-5 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Retired or do not currently perform surgery,21-30 years,Yes,,,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Private hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Private hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Private hospital,6-10 years,Yes,,,,Femtosecond intrastromal lenticule extraction ,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Private hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",,,,Topography-customized,100 or more,,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Private hospital,Over 30 years,Yes,,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,,10-Jun,After two medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Surgeon-owned clinic,Over 30 years,Yes,,Trifocal IOLs,,,5-Jan,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Surgeon-owned clinic,6-10 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,Digital image registration,Wavefront-customized,51-99,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,Surgeon-owned clinic,21-30 years,Yes,,Extended depth of focus IOLs,,Topography-customized,100 or more,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Private hospital,Over 30 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,Digital image registration,,100 or more,After three medications,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Surgeon-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,Enhanced Monofocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Private hospital,21-30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Other (Please specify.) ,11-20 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,,Wavefront-customized,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Surgeon-owned clinic,21-30 years,Yes,Vertical chop,Trifocal IOLs,Digital image registration,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Private hospital,21-30 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,,,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Public hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,26-50,,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Public hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,Digital image registration,,11-25,After two medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,21-30 years,Yes,Vertical chop,Extended depth of focus IOLs,,,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Private hospital,Over 30 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-customized,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Private hospital,21-30 years,Yes,,,,Standard ablations,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Surgeon-owned clinic,Over 30 years,Yes,,Trifocal IOLs,Anatomical landmarks without preoperative marking,Wavefront-optimized,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
